# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
labiot72;1;2021-10-14 01:30:01 UTC;-1;12.47;0.00;16.34;0.86;0.00;70.32
labiot72;60;2021-10-14 01:31:01 UTC;-1;10.14;0.01;12.93;0.38;0.00;76.54
labiot72;60;2021-10-14 01:32:01 UTC;-1;10.77;0.01;13.42;0.41;0.00;75.39
labiot72;60;2021-10-14 01:33:01 UTC;-1;10.54;0.01;12.74;0.39;0.00;76.33
labiot72;60;2021-10-14 01:34:01 UTC;-1;10.21;0.01;12.79;0.41;0.00;76.58
labiot72;60;2021-10-14 01:35:01 UTC;-1;10.42;0.02;13.08;0.43;0.00;76.05
labiot72;60;2021-10-14 01:36:01 UTC;-1;10.56;0.01;13.02;0.46;0.00;75.94
labiot72;60;2021-10-14 01:37:01 UTC;-1;10.30;0.01;13.18;0.45;0.00;76.06
labiot72;60;2021-10-14 01:38:02 UTC;-1;10.32;0.02;13.03;0.41;0.00;76.21
labiot72;59;2021-10-14 01:39:01 UTC;-1;10.36;0.01;12.84;0.44;0.00;76.35
labiot72;59;2021-10-14 01:40:00 UTC;-1;10.45;0.02;13.03;0.40;0.00;76.11
labiot72;1;2021-10-14 01:40:01 UTC;-1;10.70;0.00;13.58;0.52;0.00;75.20
labiot72;60;2021-10-14 01:41:01 UTC;-1;10.75;0.01;13.97;0.40;0.00;74.87
labiot72;60;2021-10-14 01:42:01 UTC;-1;10.23;0.01;13.31;0.52;0.00;75.94
labiot72;60;2021-10-14 01:43:01 UTC;-1;10.51;0.01;12.88;0.51;0.00;76.08
labiot72;60;2021-10-14 01:44:01 UTC;-1;10.17;0.01;12.84;0.58;0.00;76.40
labiot72;60;2021-10-14 01:45:01 UTC;-1;10.86;0.01;13.07;0.47;0.00;75.59
labiot72;60;2021-10-14 01:46:01 UTC;-1;10.29;0.01;12.53;0.43;0.00;76.73
labiot72;60;2021-10-14 01:47:01 UTC;-1;10.61;0.00;13.49;0.40;0.00;75.49
labiot72;60;2021-10-14 01:48:01 UTC;-1;10.43;0.01;12.99;0.50;0.00;76.07
labiot72;60;2021-10-14 01:49:01 UTC;-1;10.57;0.00;12.78;0.50;0.00;76.14
labiot72;58;2021-10-14 01:50:00 UTC;-1;10.06;0.01;12.95;0.44;0.00;76.55
labiot72;2;2021-10-14 01:50:01 UTC;-1;9.47;0.00;11.39;0.44;0.00;78.70
labiot72;60;2021-10-14 01:51:02 UTC;-1;10.31;0.01;13.06;0.57;0.00;76.04
labiot72;59;2021-10-14 01:52:01 UTC;-1;10.64;0.01;12.56;0.47;0.00;76.31
labiot72;60;2021-10-14 01:53:01 UTC;-1;10.44;0.01;13.21;0.49;0.00;75.85
labiot72;60;2021-10-14 01:54:01 UTC;-1;10.41;0.01;13.07;0.47;0.00;76.03
labiot72;60;2021-10-14 01:55:01 UTC;-1;10.41;0.01;12.91;0.50;0.00;76.17
labiot72;60;2021-10-14 01:56:01 UTC;-1;10.56;0.00;13.18;0.40;0.00;75.86
labiot72;60;2021-10-14 01:57:01 UTC;-1;10.51;0.01;13.40;0.44;0.00;75.63
labiot72;60;2021-10-14 01:58:01 UTC;-1;10.55;0.01;12.97;0.47;0.00;76.00
labiot72;60;2021-10-14 01:59:01 UTC;-1;10.16;0.00;12.74;0.41;0.00;76.68
labiot72;59;2021-10-14 02:00:00 UTC;-1;10.41;0.01;12.95;0.44;0.00;76.19
labiot72;1;2021-10-14 02:00:01 UTC;-1;10.36;0.00;13.58;0.51;0.00;75.55
labiot72;60;2021-10-14 02:01:01 UTC;-1;10.46;0.01;13.00;0.58;0.00;75.95
labiot72;60;2021-10-14 02:02:01 UTC;-1;10.70;0.01;13.15;0.43;0.00;75.70
labiot72;60;2021-10-14 02:03:01 UTC;-1;10.33;0.01;12.97;0.47;0.00;76.23
labiot72;60;2021-10-14 02:04:01 UTC;-1;10.25;0.02;12.81;0.48;0.00;76.44
